date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:57:56	15076/15076	---M--	200	added ('OK')	image/webp	date:Fri,%2023%20Jan%202026%2014:10:55%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/uploads/2026/01/Jaqueline-mob-teste.webp	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/uploads/2026/01/Jaqueline-mob-teste.webp	(from https://map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/css/post-84.css?ver=1770832849)
21:57:57	15514/15514	---M--	200	added ('OK')	image/webp	date:Wed,%2011%20Feb%202026%2017:48:44%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/uploads/2026/02/teste-celular-2.webp	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/uploads/2026/02/teste-celular-2.webp	(from https://map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/css/post-84.css?ver=1770832849)
21:57:59	168911/168911	---M--	200	added ('OK')	image/png	date:Wed,%2011%20Feb%202026%2017:59:26%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/uploads/2026/02/teste-dobra-mockup.png	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/uploads/2026/02/teste-dobra-mockup.png	(from https://map.jaquelinesalles.com.br/wp/wp-content/uploads/elementor/css/post-84.css?ver=1770832849)
21:58:00	134684/134684	---M--	200	added ('OK')	font/woff2	date:Thu,%2022%20Jan%202026%2010:36:54%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/plugins/happy-elementor-addons/assets/fonts/happy-icons.woff2	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/plugins/happy-elementor-addons/assets/fonts/happy-icons.woff2	(from https://map.jaquelinesalles.com.br/wp/wp-content/plugins/happy-elementor-addons/assets/fonts/style.min.css?ver=3.20.7)
21:58:01	322828/322828	---M--	200	added ('OK')	font/woff	date:Thu,%2022%20Jan%202026%2010:36:54%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/plugins/happy-elementor-addons/assets/fonts/happy-icons.woff	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/plugins/happy-elementor-addons/assets/fonts/happy-icons.woff	(from https://map.jaquelinesalles.com.br/wp/wp-content/plugins/happy-elementor-addons/assets/fonts/style.min.css?ver=3.20.7)
21:58:03	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2022%20Jan%202026%2014:37:55%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from https://map.jaquelinesalles.com.br/wp/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0)
21:58:03	873623/873623	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2022%20Jan%202026%2010:36:54%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/plugins/happy-elementor-addons/assets/fonts/happy-icons.svg	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/plugins/happy-elementor-addons/assets/fonts/happy-icons.svg	(from https://map.jaquelinesalles.com.br/wp/wp-content/plugins/happy-elementor-addons/assets/fonts/style.min.css?ver=3.20.7)
21:58:04	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2022%20Jan%202026%2014:37:55%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.eot?	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfontd41d.eot	(from https://map.jaquelinesalles.com.br/wp/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0)
21:58:04	77160/77160	---M--	200	added ('OK')	font/woff2	date:Thu,%2022%20Jan%202026%2014:37:55%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from https://map.jaquelinesalles.com.br/wp/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0)
21:58:05	98024/98024	---M--	200	added ('OK')	font/woff	date:Thu,%2022%20Jan%202026%2014:37:55%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from https://map.jaquelinesalles.com.br/wp/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0)
21:58:07	165548/165548	---M--	200	added ('OK')	font/ttf	date:Thu,%2022%20Jan%202026%2014:37:55%20GMT	https://map.jaquelinesalles.com.br/wp/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	/Users/vagnerlauren/Documents/CLONES/jq/map.jaquelinesalles.com.br/wp/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from https://map.jaquelinesalles.com.br/wp/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0)
